province,name,"number,",con,ndp,lib,grn,bq,oth,projected_winner,strategic_vote,confidence,turnout_2011
ON,Kitchener Centre,35045,0.2848730312657531,0.2096959957027037,0.4650889641532225,0.039898052899583696,0,0.0004439559787370941,LIB,LIB,0.76450332037107449,0.6248354716479426
ON,Kingston and the Islands,35044,0.23159824841468743,0.20481677840503695,0.5300888841858604,0.03349608899441517,0,0.0,LIB,LIB,0.883753689771821,0.6295477029445439
ON,Kitchener South--Hespeler,35047,0.42017771452222763,0.17807990538953322,0.3616424031422477,0.03978629745686801,0,0.0003136794891235384,CON,LIB,0.59256233678113812,0.5889725427302832
ON,Kitchener--Conestoga,35046,0.38651171717802385,0.15377090411095792,0.4187123367569304,0.04008388920927122,0,0.0009211527448166112,LIB,LIB,0.55124302777239653,0.6306706963779577
ON,Kanata--Carleton,35041,0.39248898324592607,0.07883372078751705,0.49878568553406405,0.029891610432492905,0,0.0,LIB,LIB,0.66464975034381024,0.7067161895222992
ON,Huron--Bruce,35040,0.4496182806507346,0.19868186957947162,0.3181068239413715,0.02810019027988503,0,0.005492835548537196,CON,LIB,0.70057181659461598,0.6765487006798399
ON,King--Vaughan,35043,0.39567718101946564,0.08564669392824872,0.4980749742516675,0.020601150800618112,0,0,LIB,LIB,0.65894706339106657,0.5620575333342985
ON,Kenora,35042,0.3797143890929072,0.2381105412056495,0.34590115580840824,0.035495691777148945,0,0.0007782221158860462,CON,LIB,0.55379405152245265,0.5848796269863926
AB,Calgary Signal Hill,48012,0.42932083883159067,0.09071642137143565,0.4270300920754606,0.05293264772151315,0,0,CON,LIB,0.50365545178662219,0.5961688871213627
AB,Calgary Skyview,48013,0.3383586778256858,0.07015044413663248,0.5692293867801812,0.022261491257500647,0,0,LIB,LIB,0.82212217945217958,0.47960147168951256
MB,Churchill--Keewatinook Aski,46003,0.19917343250879743,0.32198533587305367,0.452692289797221,0.02614894182092778,0,0,LIB,LIB,0.69945295954278175,0.43192096149928705
BC,Burnaby North--Seymour,59002,0.3552188201797022,0.279035968353012,0.26187762615913196,0.09978323850119919,0,0.00408434680695468,CON,NDP,0.6197146364915328,0.6114406779661017
AB,Calgary Rocky Ridge,48010,0.5100099406378341,0.10195638549657131,0.3456837182394809,0.042349955626113725,0,0,CON,LIB,0.74450755343526287,0.6064215004612356
QC,Drummond,24025,0.19684197124980957,0.3652228156794412,0.19725620872261523,0.03202069802584868,0.20865830632228544,0,NDP,NDP,0.73442714736397119,0.6136128364389234
